Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue,dev_stage,experiment_batch,Cultivar,Biomaterial_provider,Ecotype,treatment
SRR6320464,RNA-Seq,300,PRJNA381300,SAMN08095318,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420427,RNA-seq,China,Asia,China: Anhui,HiSeq X Ten,Pear_D_leaf_RNA-seq_3:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2196,890,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712292,Pear_D_leaf_RNA-seq_3,SRP102870,leaf,not collected,3,Dangshanshuli,,,
SRR6320465,RNA-Seq,300,PRJNA381300,SAMN08095319,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420426,RNA-seq,China,Asia,China: Anhui,HiSeq X Ten,Pear_D_immature_1:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2430,977,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712293,Pear_D_immature_1,SRP102870,fruit flesh and peel,immature,1,Dangshanshuli,,,
SRR6320466,RNA-Seq,300,PRJNA381300,SAMN08095316,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420425,RNA-seq,France,Europe,France,HiSeq X Ten,Pear_W_ripe_RNA-seq_2:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2515,1009,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712291,Pear_W_ripe_RNA-seq_2,SRP102870,fruit flesh,ripe,2,Williams,,,
SRR6320467,RNA-Seq,300,PRJNA381300,SAMN08095317,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420424,RNA-seq,China,Asia,China: Anhui,HiSeq X Ten,Pear_D_leaf_RNA-seq_2:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2315,938,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712290,Pear_D_leaf_RNA-seq_2,SRP102870,leaf,not collected,2,Dangshanshuli,,,
SRR6320468,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095274,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420423,DNase-seq,China,Asia,China: Xinjiang,HiSeq X Ten,Pear_Xinjiang_immature_Dnase-seq_2:PH087:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,3273,1251,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712289,Pear_Xinjiang_immature_Dnase-seq_2,SRP102870,fruit flesh,immature,2,not collected,,,
SRR6320469,RNA-Seq,300,PRJNA381300,SAMN08095275,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420422,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,At_cauline_leaf_RNA-seq_1:PH109:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1763,640,Arabidopsis thaliana,ILLUMINA,2017-11-23T00:00:00Z,SRS2712287,At_cauline_leaf_RNA-seq_1,SRP102870,cauline leaf,not collected,1,,,Columbia,
SRR6320470,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095272,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420421,DNase-seq,China,Asia,China: Shandong,HiSeq X Ten,Pear_Shandong_immature_Dnase-seq_2:PH083:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,1314,537,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712288,Pear_Shandong_immature_Dnase-seq_2,SRP102870,fruit flesh,immature,2,not collected,,,
SRR6320471,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095273,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420420,DNase-seq,China,Asia,China: Xinjiang,HiSeq X Ten,Pear_Xinjiang_immature_Dnase-seq_1:PH087:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,4190,1526,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712286,Pear_Xinjiang_immature_Dnase-seq_1,SRP102870,fruit flesh,immature,1,not collected,,,
SRR6320472,RNA-Seq,300,PRJNA381300,SAMN08095340,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420419,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_leaf_old_RNA-seq_3:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1341,533,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712285,Os_leaf_old_RNA-seq_3,SRP102870,leaf,old,3,Fengsizhan,,,
SRR6320473,RNA-Seq,300,PRJNA381300,SAMN08095341,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420418,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_carpel_RNA-seq_1:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1084,445,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712284,Os_carpel_RNA-seq_1,SRP102870,carpel,not collected,1,Fengsizhan,,,
SRR6320474,RNA-Seq,300,PRJNA381300,SAMN08095276,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420417,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,At_carpel_RNA-seq_1:PH109:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1872,679,Arabidopsis thaliana,ILLUMINA,2017-11-23T00:00:00Z,SRS2712283,At_carpel_RNA-seq_1,SRP102870,carpel,not collected,1,,,Columbia,
SRR6320475,RNA-Seq,300,PRJNA381300,SAMN08095277,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420416,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,At_old_silique_RNA-seq_1:PH109:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1967,719,Arabidopsis thaliana,ILLUMINA,2017-11-23T00:00:00Z,SRS2712282,At_old_silique_RNA-seq_1,SRP102870,silique,old,1,,,Columbia,
SRR6320476,RNA-Seq,300,PRJNA381300,SAMN08095336,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420415,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_leaf_young_RNA-seq_2:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1270,512,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712281,Os_leaf_young_RNA-seq_2,SRP102870,leaf,young,2,Fengsizhan,,,
SRR6320477,RNA-Seq,300,PRJNA381300,SAMN08095337,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420414,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_leaf_young_RNA-seq_3:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1285,507,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712280,Os_leaf_young_RNA-seq_3,SRP102870,leaf,young,3,Fengsizhan,,,
SRR6320478,RNA-Seq,300,PRJNA381300,SAMN08095338,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420413,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_leaf_old_RNA-seq_1:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,807,318,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712279,Os_leaf_old_RNA-seq_1,SRP102870,leaf,old,1,Fengsizhan,,,
SRR6320479,RNA-Seq,300,PRJNA381300,SAMN08095339,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420412,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_leaf_old_RNA-seq_2:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,821,326,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712278,Os_leaf_old_RNA-seq_2,SRP102870,leaf,old,2,Fengsizhan,,,
SRR6320480,RNA-Seq,300,PRJNA381300,SAMN08095332,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420411,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_leaf_old_RNA-seq_2:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2285,889,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712277,AC_leaf_old_RNA-seq_2,SRP102870,leaf,old,2,AC,,,
SRR6320481,RNA-Seq,300,PRJNA381300,SAMN08095333,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420410,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Watermelon_10DPA_RNA-seq_1:PH095:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,773,310,Citrullus lanatus,ILLUMINA,2017-11-23T00:00:00Z,SRS2712276,Watermelon_10DPA_RNA-seq_1,SRP102870,leaf,10 days post anthesis,1,97103,,,
SRR6320482,RNA-Seq,300,PRJNA381300,SAMN08095334,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420409,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Watermelon_34DPA_RNA-seq_1:PH095:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1068,429,Citrullus lanatus,ILLUMINA,2017-11-23T00:00:00Z,SRS2712275,Watermelon_34DPA_RNA-seq_1,SRP102870,leaf,34 days post anthesis,1,97103,,,
SRR6320483,RNA-Seq,300,PRJNA381300,SAMN08095335,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420408,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_leaf_young_RNA-seq_1:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1148,465,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712274,Os_leaf_young_RNA-seq_1,SRP102870,leaf,young,1,Fengsizhan,,,
SRR6320484,RNA-Seq,300,PRJNA381300,SAMN08095331,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420407,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_leaf_old_RNA-seq_1:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2067,813,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712273,AC_leaf_old_RNA-seq_1,SRP102870,leaf,old,1,AC,,,
SRR6320485,RNA-Seq,300,PRJNA381300,SAMN08095330,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420406,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_leaf_adult_RNA-seq_2:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2099,818,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712272,AC_leaf_adult_RNA-seq_2,SRP102870,leaf,adult,2,AC,,,
SRR6320486,RNA-Seq,300,PRJNA381300,SAMN08095323,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420405,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Strawberry_leaf_RNA-seq_2:PH095:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1231,500,Fragaria vesca,ILLUMINA,2017-11-23T00:00:00Z,SRS2712271,Strawberry_leaf_RNA-seq_2,SRP102870,leaf,not collected,2,Hawaii-4,,,
SRR6320487,RNA-Seq,300,PRJNA381300,SAMN08095322,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420404,RNA-seq,China,Asia,China: Anhui,HiSeq X Ten,Pear_D_fruit_ripe_RNA-seq_2:PH095:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1036,421,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712270,Pear_D_fruit_ripe_RNA-seq_2,SRP102870,fruit flesh,ripe,2,Dangshanshuli,,,
SRR6320488,RNA-Seq,300,PRJNA381300,SAMN08095325,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420403,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Strawberry_immature_RNA-seq_3:PH117:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1282,511,Fragaria vesca,ILLUMINA,2017-11-23T00:00:00Z,SRS2712269,Strawberry_immature_RNA-seq_3,SRP102870,receptacle without seed,immature,3,Hawaii-4,,,
SRR6320490,RNA-Seq,300,PRJNA381300,SAMN08095327,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420401,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_leaf_young_RNA-seq_1:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2226,869,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712267,AC_leaf_young_RNA-seq_1,SRP102870,leaf,young,1,AC,,,
SRR6320491,RNA-Seq,300,PRJNA381300,SAMN08095326,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420400,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Strawberry_ripe_RNA-seq_2:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1601,643,Fragaria vesca,ILLUMINA,2017-11-23T00:00:00Z,SRS2712266,Strawberry_ripe_RNA-seq_2,SRP102870,receptacle without seed,ripe,2,Hawaii-4,,,
SRR6320492,RNA-Seq,300,PRJNA381300,SAMN08095329,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420399,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_leaf_adult_RNA-seq_1:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2521,977,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712265,AC_leaf_adult_RNA-seq_1,SRP102870,leaf,adult,1,AC,,,
SRR6320493,RNA-Seq,300,PRJNA381300,SAMN08095328,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420398,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_leaf_young_RNA-seq_2:PH094:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,2152,845,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712263,AC_leaf_young_RNA-seq_2,SRP102870,leaf,young,2,AC,,,
SRR6320494,RNA-Seq,300,PRJNA381300,SAMN08095279,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420397,RNA-seq,China,Asia,China: Shandong,HiSeq X Ten,Apple_flesh_ripe_RNA-seq_2:PH095:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,834,342,Malus domestica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712264,Apple_flesh_ripe_RNA-seq_2,SRP102870,fruit flesh,ripe,2,Golden Delicious,,,
SRR6320495,ChIP-Seq,100,PRJNA381300,SAMN08095345,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420396,ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_EIL4_Ripe_ChIP-seq_2:pre:ChIP-seq:paired:HiSeqTen,PAIRED,ChIP,GENOMIC,951,369,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712261,AC_EIL4_Ripe_ChIP-seq_2,SRP102870,fruit flesh,ripe,2,AC,,,
SRR6320496,ChIP-Seq,100,PRJNA381300,SAMN08095344,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420395,ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_EIL4_Ripe_ChIP-seq_1:pre:ChIP-seq:paired:HiSeqTen,PAIRED,ChIP,GENOMIC,906,328,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712262,AC_EIL4_Ripe_ChIP-seq_1,SRP102870,fruit flesh,ripe,1,AC,,,
SRR6320497,ChIP-Seq,51,PRJNA381300,SAMN08095343,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420394,ChIP-seq,USA,North America,USA,Illumina HiSeq 2000,AC_TAGL1_Br_ChIP-seq_1:pre:ChIP-seq:single:HiSeq2000,SINGLE,ChIP,GENOMIC,939,580,Solanum lycopersicum,ILLUMINA,2017-11-23T00:00:00Z,SRS2712260,AC_TAGL1_Br_ChIP-seq_1,SRP102870,fruit flesh,42 days post anthesis,1,AC,,,
SRR6320498,RNA-Seq,300,PRJNA381300,SAMN08095342,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420393,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Os_carpel_RNA-seq_2:PH091:RNA-seq:paired:HiSeqXTen,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1301,529,Oryza sativa,ILLUMINA,2017-11-23T00:00:00Z,SRS2712259,Os_carpel_RNA-seq_2,SRP102870,carpel,not collected,2,Fengsizhan,,,
SRR6320499,ChIP-Seq,300,PRJNA381300,SAMN08095347,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420392,ChIP-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_NAC_ripe_ChIP_seq_2:pre:ChIP-seq:paired:HiSeqTen,PAIRED,ChIP,GENOMIC,2433,1066,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712258,Peach_NAC_ripe_ChIP_seq_2,SRP102870,fruit flesh,ripe,2,babygold,,,
SRR6320500,ChIP-Seq,300,PRJNA381300,SAMN08095346,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420391,ChIP-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_NAC_ripe_ChIP_seq_1:pre:ChIP-seq:paired:HiSeqTen,PAIRED,ChIP,GENOMIC,2695,1103,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712257,Peach_NAC_ripe_ChIP_seq_1,SRP102870,fruit flesh,ripe,1,babygold,,,
SRR6320501,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095271,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420390,DNase-seq,China,Asia,China: Shandong,HiSeq X Ten,Pear_Shandong_immature_Dnase-seq_1:PH083:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,1469,613,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712256,Pear_Shandong_immature_Dnase-seq_1,SRP102870,fruit flesh,immature,1,not collected,,,
SRR6320502,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095270,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420389,DNase-seq,China,Asia,China: Guangzhou,HiSeq X Ten,Pear_Y_immature_Dnase-seq_2:PH083:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,1241,532,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712255,Pear_Y_immature_Dnase-seq_2,SRP102870,fruit flesh,immature,2,Yali,,,
SRR6320503,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095269,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420388,DNase-seq,China,Asia,China: Guangzhou,HiSeq X Ten,Pear_Y_immature_Dnase-seq_1:PH083:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,912,401,Pyrus x bretschneideri,ILLUMINA,2017-11-23T00:00:00Z,SRS2712254,Pear_Y_immature_Dnase-seq_1,SRP102870,fruit flesh,immature,1,Yali,,,
SRR6320504,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095268,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420387,DNase-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_NJC83_immature_DNase-seq_3:PH067:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,2361,976,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712253,Peach_NJC83_immature_DNase-seq_3,SRP102870,fruit flesh,immature,3,NJC 83,,,
SRR6320505,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095267,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420386,DNase-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_NJC83_immature_DNase-seq_2:PH067:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,2675,1116,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712251,Peach_NJC83_immature_DNase-seq_2,SRP102870,fruit flesh,immature,2,NJC 83,,,
SRR6320507,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095265,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420384,DNase-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_Youtao_immature_DNase-seq_3:PH067:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,2555,1087,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712249,Peach_Youtao_immature_DNase-seq_3,SRP102870,fruit flesh,immature,3,not collected,,,
SRR6320508,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095264,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420383,DNase-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_Youtao_immature_DNase-seq_2:PH067:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,1676,734,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712248,Peach_Youtao_immature_DNase-seq_2,SRP102870,fruit flesh,immature,2,not collected,,,
SRR6320509,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095263,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420382,DNase-seq,China,Asia,China: Zhengzhou,HiSeq X Ten,Peach_Youtao_immature_DNase-seq_1:PH067:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,1732,761,Prunus persica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712246,Peach_Youtao_immature_DNase-seq_1,SRP102870,fruit flesh,immature,1,not collected,,,
SRR6320510,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095262,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420381,DNase-seq,China,Asia,China: Shandong,HiSeq X Ten,Apple_immature_DNase-seq_3:PH066:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,3064,1271,Malus domestica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712247,Apple_immature_DNase-seq_3,SRP102870,fruit flesh,immature,3,Golden Delicious,,,
SRR6320511,DNase-Hypersensitivity,300,PRJNA381300,SAMN08095260,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3420380,DNase-seq,China,Asia,China: Shandong,HiSeq X Ten,Apple_immature_DNase-seq_1:PH066:DNase-seq:paired:HiSeqXTen,PAIRED,DNase,GENOMIC,3628,1466,Malus domestica,ILLUMINA,2017-11-23T00:00:00Z,SRS2712245,Apple_immature_DNase-seq_1,SRP102870,fruit flesh,immature,1,Golden Delicious,,,
